Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (Hz),Motor Optical Speed (Hz),Electrical Power (W),Overall Efficiency (kgf/W),App message,
201.2218849999998,1123,,,,,23.703506639765386,0.35718368214277857,0,52.433333334382,8.466505781287202,,,
201.24510500000045,1123,,,,,23.703419142166464,0.35603036935505517,0,52.433333334382,8.439137072163211,,,
201.2717550000008,1123,,,,-0.021222026604828564,23.703033115352635,0.35588043017995363,0,52.416666667715,8.435445621661382,0.002515815708696233,,
201.29824000000022,1123,,,,,23.703276393028556,0.3559147519039575,0,52.416666667715,8.43634573673569,,,
201.3227000000011,1123,,,,,23.70309677738518,0.3546487166145674,0,52.400000001048,8.406272851890543,,,
201.34675500000083,1123,,,,,23.70317993486956,0.3545666782856131,0,52.400000001048,8.404357774312896,,,
201.37358999999987,1123,,,,,23.702596657806353,0.3551666776299724,0,52.400000001048,8.41837250615637,,,
201.39864499999956,1123,,,,,23.702583178627258,0.3532550869825534,0,52.383333334381,8.37305808247718,,,
201.42408000000006,1123,,,,-0.02314948471629878,23.70252109552076,0.3540272540718575,0,52.383333334381,8.391338458027489,0.002758735669177193,,
201.5388900000006,1123,,,,,23.70233152790764,0.35291760253637416,0,52.383333334381,8.364970017351478,,,
201.56434500000066,1123,,,,,23.70228526967045,0.3529254660216357,0,52.366666667714,8.365140074576196,,,
201.5886749999989,1123,,,,-0.023976184652582902,23.702526689164362,0.35225944815553556,0,52.383333334381,8.349438971416891,0.0028715922991547024,,
201.61301499999874,1123,,,,,23.70232560060277,0.35268229732432693,0,52.383333334381,8.359390644749793,,,
201.6390099999998,1123,,,,,23.70270528771411,0.352567210696228,0,52.383333334381,8.356796689244097,,,
201.66062000000105,1123,,,,,23.70272495899,0.3516554458565217,0,52.383333334381,8.335192313468134,,,
201.6830150000006,1123,,,,,23.702717444103587,0.35441290509921225,0,52.383333334381,8.400548948110528,,,
201.708125,1123,,,,,23.702848367271905,0.35611267423640136,0,52.366666667714,8.440884719089118,,,
201.73067500000076,1123,,,,-0.02420504011495273,23.702642751447556,0.35543687350829967,0,52.366666667714,8.424793233458681,0.002873072305065425,,
201.75274000000022,1123,,,,,23.70238992158309,0.355234059875991,0,52.350000001047,8.419896200607733,,,
201.77608999999984,1123,,,,,23.702652460288146,0.3541159030154848,0,52.33333333438,8.393486179837138,,,
