Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
33.02976999999955,1056,,,,,23.775237814455988,0.18007892500192946,0,1608,4.281419267292457,,,
33.05472499999963,1056,,,,,23.77526545166754,0.1779145168667317,0,1608,4.229964866211728,,,
33.082984999999404,1056,,,,,23.77491659861271,0.18007023901971306,0,1605,4.281154914585934,,,
33.113794999999925,1056,,,,0.03847622874248735,23.774742977145095,0.1811232031141746,0,1605,4.306157601236747,0.00893516501380182,,
33.14408999999985,1056,,,,,23.774588916429593,0.18037467792239273,0,1596,4.288333818538276,,,
33.17785499999952,1056,,,,,23.77514267999632,0.17936874307313383,0,1449,4.264517458895359,,,
33.20686500000022,1056,,,,,23.775484367660127,0.1807558015299104,0,1416,4.2975567336382605,,,
33.22977999999933,1056,,,,,23.775788069925774,0.18199631442325767,0,1391,4.32710580123495,,,
33.253219999999736,1056,,,,0.03490511676867456,23.776194343629815,0.18162604644244484,0,1567,4.318376178080703,0.00808292638928647,,
33.28136499999929,1056,,,,,23.77607621034899,0.18304120209440797,0,1598,4.352001570630535,,,
33.307429999999705,1056,,,,,23.77626695021658,0.18492188389227646,0,1605,4.3967520763597205,,,
33.33170499999914,1056,,,,,23.776351667812463,0.1852621537651975,0,1606,4.404858118657683,,,
33.355069999999365,1056,,,,,23.776148893616742,0.18263305847879716,0,1607,4.342310791288495,,,
33.380575000000185,1056,,,,,23.776085378205103,0.18290668341392596,0,1472,4.348804921093835,,,
33.405269999999554,1056,,,,0.02802473095480814,23.77602863763264,0.18252855277542793,0,1427,4.3398040979742145,0.006457602767804624,,
33.432894999999554,1056,,,,,23.77589770883515,0.18006351337624943,0,1419,4.281171675127176,,,
33.45910499999952,1056,,,,,23.775914544900477,0.17911923585936437,0,979,4.258723645140121,,,
33.488474999999625,1056,,,,,23.77578369593224,0.18224647839023347,0,839,4.3330528495515805,,,
33.51376999999955,1056,,,,,23.775988992073717,0.18208710350611337,0,813,4.329300968559939,,,
33.54258499999996,1056,,,,,23.7761794975149,0.18494133537740046,0,809,4.397198386443176,,,
33.583995000000115,1056,,,,0.02441072033611801,23.776191591739995,0.1877609583902314,0,808,4.464240520134863,0.005468056711106724,,
